N_simulacion,tipo,id_vuelo,origen,destino,minuto,retraso
6,llegada,JD009,J,D,199,0.0
6,llegada,DI054,D,I,202,0.0
6,llegada,IG033,I,G,232,0.0
6,llegada,DF038,D,F,236,0.0
6,llegada,AH020,A,H,243,0.0
6,salida,HG041,H,G,256,
6,salida,EI007,E,I,313,
6,llegada,HG041,H,G,316,0.0
6,salida,AH057,A,H,341,
6,llegada,EI007,E,I,377,0.0
6,llegada,AH057,A,H,387,0.0
6,salida,BD058,B,D,400,
6,salida,BJ006,B,J,404,
6,llegada,BD058,B,D,439,0.0
6,llegada,BJ006,B,J,440,0.0
6,salida,DF031,D,F,450,
6,salida,EA011,E,A,458,
6,salida,EI059,E,I,459,
6,salida,DA034,D,A,499,
6,llegada,EA011,E,A,500,0.0
6,llegada,DF031,D,F,520,0.0
6,llegada,EI059,E,I,523,0.0
6,salida,JC048,J,C,534,
6,llegada,JC048,J,C,549,0.0
6,llegada,DA034,D,A,549,0.0
6,salida,GJ002,G,J,552,
6,salida,HB003,H,B,558,
6,salida,IC018,I,C,562,
6,salida,GH052,G,H,577,
6,salida,BH046,B,H,585,
6,salida,HC042,H,C,587,
6,llegada,IC018,I,C,590,0.0
6,llegada,HB003,H,B,591,0.0
6,llegada,HC042,H,C,602,0.0
6,salida,FA047,F,A,611,
6,llegada,GJ002,G,J,615,0.0
6,salida,GI036,G,I,617,
6,llegada,BH046,B,H,618,0.0
6,salida,AJ030,A,J,620,
6,salida,FD008,F,D,629,
6,salida,JF045,J,F,631,
6,llegada,GH052,G,H,637,0.0
6,llegada,AJ030,A,J,655,0.0
6,llegada,JF045,J,F,658,0.0
6,llegada,FA047,F,A,660,0.0
6,salida,GB029,G,B,686,
6,llegada,GI036,G,I,689,0.0
6,salida,EI053,E,I,695,
6,llegada,FD008,F,D,699,0.0
6,llegada,GB029,G,B,715,0.0
6,salida,FJ026,F,J,726,
6,llegada,FJ026,F,J,753,0.0
6,cola_espera,EI053,,I,759,
6,salida,EH037,E,H,781,
6,salida,JC039,J,C,783,
6,cola_espera,JC039,,C,798,
6,salida,DB043,D,B,799,
6,llegada,EH037,E,H,815,0.0
6,salida,FH016,F,H,817,
6,llegada,FH016,F,H,825,0.0
6,salida,JG051,J,G,829,
6,llegada,DB043,D,B,838,0.0
6,salida,AC023,A,C,854,
6,salida,IH014,I,H,884,
6,llegada,EI053,E,I,884,125.0
6,llegada,JG051,J,G,892,0.0
6,cola_espera,AC023,,C,894,
6,salida,BI056,B,I,913,
6,salida,AG044,A,G,916,
6,llegada,IH014,I,H,927,0.0
6,llegada,AG044,A,G,950,0.0
6,salida,CA025,C,A,956,
6,llegada,JC039,J,C,956,158.0
6,cola_espera,BI056,,I,960,
6,salida,BE005,B,E,968,
6,salida,GD049,G,D,984,
6,salida,BF022,B,F,990,
6,llegada,BE005,B,E,991,0.0
6,llegada,CA025,C,A,996,0.0
6,llegada,GD049,G,D,1004,0.0
6,salida,IB024,I,B,1024,
6,llegada,BI056,B,I,1024,64.0
6,llegada,BF022,B,F,1028,0.0
6,salida,DF032,D,F,1038,
6,llegada,IB024,I,B,1071,0.0
6,llegada,DF032,D,F,1108,0.0
6,salida,HI027,H,I,1121,
6,salida,JB021,J,B,1130,
6,salida,HI019,H,I,1153,
6,cola_espera,HI027,,I,1164,
6,llegada,JB021,J,B,1166,0.0
6,salida,HF000,H,F,1194,
6,cola_espera,HI019,,I,1196,
6,llegada,HF000,H,F,1202,0.0
6,salida,CB028,C,B,1211,
6,llegada,AC023,A,C,1211,317.0
6,llegada,CB028,C,B,1245,0.0
6,salida,BJ010,B,J,1258,
6,salida,AH055,A,H,1261,
6,salida,FE013,F,E,1270,
6,llegada,BJ010,B,J,1294,0.0
6,salida,JH004,J,H,1298,
6,llegada,AH055,A,H,1307,0.0
6,llegada,FE013,F,E,1310,0.0
6,llegada,JH004,J,H,1327,0.0
6,salida,IB012,I,B,1393,
6,llegada,HI027,H,I,1393,229.0
6,salida,BF015,B,F,1399,
6,llegada,BF015,B,F,1437,0.0
7,salida,AH007,A,H,86,
7,llegada,AH007,A,H,132,0.0
7,salida,BF034,B,F,134,
7,salida,CA008,C,A,153,
7,salida,AF043,A,F,166,
7,llegada,BF034,B,F,172,0.0
7,llegada,CA008,C,A,193,0.0
7,salida,GI027,G,I,195,
7,salida,BF042,B,F,198,
7,llegada,AF043,A,F,215,0.0
7,llegada,BF042,B,F,236,0.0
7,salida,FA047,F,A,263,
7,salida,GE006,G,E,265,
7,llegada,GI027,G,I,267,0.0
7,salida,ED033,E,D,285,
7,llegada,GE006,G,E,299,0.0
7,llegada,FA047,F,A,312,0.0
7,salida,HC018,H,C,316,
7,llegada,ED033,E,D,317,0.0
7,salida,IH014,I,H,319,
7,llegada,HC018,H,C,331,0.0
7,salida,AE030,A,E,336,
7,llegada,IH014,I,H,362,0.0
