year,Aeropuerto_Origen,Aeropuerto_Destino,Pasajeros,Pasajeros_Km,Pasajeros2,Pasajeros_Km2,Textbox108,Textbox109,Textbox110,Textbox111
2024,AGP : Málaga,EAS : San Sebastián,10.576,"9.225.146,43",2.129.806,"1.776.159.612,33",238.891,"142.487.823,81",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,FUE : Fuerteventura,14.647,"19.868.579,70",2.129.806,"1.776.159.612,33",932.093,"885.942.917,86",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,GMZ : Gomera (La),,,2.129.806,"1.776.159.612,33",60.095,"14.115.551,63",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,GRO : Girona,58,"55.331,58",2.129.806,"1.776.159.612,33",2.270,"1.712.199,21",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,GRX : Granada,175,"33.077,49",2.129.806,"1.776.159.612,33",537.169,"420.025.112,26",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,HSK : Huesca,,,2.129.806,"1.776.159.612,33",118,"70.367,01",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,IBZ : Ibiza,91.204,"60.552.892,55",2.129.806,"1.776.159.612,33",1.903.001,"807.181.009,90",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,JCU : Ceuta,22.032,"2.491.855,33",2.129.806,"1.776.159.612,33",39.118,"2.985.610,92",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,LCG : Coruña (A),16.213,"14.743.024,28",2.129.806,"1.776.159.612,33",556.216,"410.174.935,53",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,LEI : Almería,4,"1.113,83",2.129.806,"1.776.159.612,33",221.418,"123.066.504,15",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,LEN : León,648,"492.301,29",2.129.806,"1.776.159.612,33",28.447,"26.092.762,94",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,LPA : Gran Canaria,122.192,"183.617.704,74",2.129.806,"1.776.159.612,33",3.593.494,"4.263.271.504,96",48.838.129,"41.757.331.077,90"
