dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
1,A4A3800095,A4,A38,A38,False,False,1076.0,1111.207860239095,14.207860239094998,0.0,1244.770902657296,corto_radio
1,A2A1700032,A2,A17,A17,False,False,1066.0,1111.6064512076164,13.606451207616374,0.0,1758.0419223599868,corto_radio
1,A3A600048,A3,A6,A6,False,False,1079.0,1111.8639286899554,12.8639286899554,0.0,1051.7103816968884,corto_radio
1,A47A4100593,A47,A41,A41,False,False,1072.0,1113.4948743174205,12.494874317420454,0.0,1513.5518782225547,corto_radio
1,A8A2400180,A8,A24,A24,False,False,1016.0,1113.611707108913,14.611707108912924,0.0,4828.999121891389,medio_radio
1,A26A3400474,A26,A34,A34,False,False,1059.0,1114.9031080364077,17.90310803640773,0.0,2347.2624667659684,corto_radio
1,A43A300078,A43,A3,A3,False,False,1068.0,1115.670587809517,12.670587809516974,0.0,1783.8521976869256,corto_radio
1,A38A2100410,A38,A21,A21,False,False,1029.0,1115.9065576961248,19.906557696124764,0.0,4456.906691221635,medio_radio
1,A18A1600333,A18,A16,A16,False,False,1076.0,1116.386334863723,16.38633486372305,0.0,1557.0281403270105,corto_radio
1,A36A2400458,A36,A24,A24,False,False,1082.0,1116.9226986253577,15.922698625357725,0.0,1275.205457954489,corto_radio
1,A40A3000515,A40,A30,A30,False,False,1072.0,1117.1890315633154,16.18903156331544,0.0,1800.0018017016578,corto_radio
1,A33A4100537,A33,A41,A41,False,False,1080.0,1120.0,15.0,0.0,1466.1770144477248,corto_radio
1,A40A4200585,A40,A42,A42,False,False,1078.0,1120.2615338498294,16.261533849829448,0.0,1659.0732461564412,corto_radio
1,A19A4800393,A19,A48,A48,False,False,1087.0,1121.010551474269,16.01055147426905,0.0,1212.5515585160585,corto_radio
1,A4A2400089,A4,A24,A24,False,False,1091.0,1121.179933132928,15.179933132928,0.0,934.4123505780866,corto_radio
1,A11A400082,A11,A4,A4,False,False,974.0,1124.1689896674577,28.16898966745771,0.0,8123.105839934765,medio_radio
1,A40A3500549,A40,A35,A35,False,False,1053.0,1124.8790290170589,17.879029017058883,0.0,3615.4811733377296,medio_radio
1,A36A4500562,A36,A45,A45,False,False,1051.0,1125.270836880489,22.270836880489014,0.0,3356.974508574781,corto_radio
1,A40A4600587,A40,A46,A46,False,False,1081.0,1126.2593998724449,16.259399872444874,0.0,1803.809951412653,corto_radio
